Customer name,SKU Id,SKU,SP,QUANTITY
Isabella Garcia,CAT4832,Broccoli,33,1
Isabella Garcia,CAT102,Fig,50,2
Isabella Garcia,CAT79,Artichoke,39,4
Logan Martinez,CAT35,Carrot,112,0.5
Logan Martinez,CAT4832,Broccoli,33,10
Logan Martinez,CAT82,Kiwi,22.9,10
Logan Martinez,CAT37,Orange,112,0.5
Logan Martinez,CAT39,Grapes,28,10
Logan Martinez,CAT112,Rutabaga,49,0.5
Logan Martinez,CAT106,Papaya,40,2
Logan Martinez,CAT93,Avocado,30.5,5
Logan Martinez,CAT111,Cantaloupe,70,0.5
Logan Martinez,CAT30,Onion,16,20
Logan Martinez,CAT51,Cucumber,39,0.5
Logan Martinez,CAT27,Tomato,80,1
Logan Martinez,CAT32,Lychee,51,4
Logan Martinez,CAT55,Pineapple,25,1
Logan Martinez,CAT47,Starfruit,65,1
Logan Martinez,CAT102,Fig,50,4
Logan Martinez,CAT64,Blueberry,115,0.5
Logan Martinez,CAT43,Asparagus,69,1
Logan Martinez,CAT17,Potato,45,1
Logan Martinez,CAT48,Zucchini,28,1
Mia Rodriguez,CAT81,Lemon,28.5,5
Mia Rodriguez,CAT51,Cucumber,39,0.5
Mia Rodriguez,CAT32,Lychee,51,2
Mia Rodriguez,CAT107,Persimmon,29.5,1
Mia Rodriguez,CAT41,Pomegranate,21,5
Mia Rodriguez,CAT79,Artichoke,39,2
Mia Rodriguez,CAT38,Spinach,49,2
Mia Rodriguez,CAT29,Cauliflower,22,4
Mia Rodriguez,CAT17,Potato,45,1
Mia Rodriguez,CAT62,Brussels Sprouts,545,0.5
Lucas Hernandez,CAT107,Persimmon,29.5,1
Lucas Hernandez,CAT82,Kiwi,22.9,5
Lucas Hernandez,CAT5523,Strawberry,75,1
Lucas Hernandez,CAT93,Avocado,30.5,15
Lucas Hernandez,CAT51,Cucumber,39,2
Lucas Hernandez,CAT63,Elderberry,370,1
Lucas Hernandez,CAT46,Guava,68,1
Lucas Hernandez,CAT92,Dragonfruit,160,0.5
Lucas Hernandez,CAT4832,Broccoli,33,1
Harper Young,CAT51,Cucumber,37,1
Harper Young,CAT82,Kiwi,22.9,15
Harper Young,CAT15,Banana,79,0.25
Harper Young,CAT39,Grapes,27.5,1
Harper Young,CAT46,Guava,65,1
Harper Young,CAT30,Onion,15.5,5
Harper Young,CAT94,Peas,25,10
Oliver Gonzalez,CAT93,Avocado,30.5,5
Oliver Gonzalez,CAT41,Pomegranate,21,4
Oliver Gonzalez,CAT27,Tomato,80,3
Oliver Gonzalez,CAT60,Mulberry,139,1
Oliver Gonzalez,CAT20,Nectarine,42,2
Oliver Gonzalez,CAT67,Coconut,49,1
Oliver Gonzalez,CAT111,Cantaloupe,70,1
Amelia Miller,CAT81,Lemon,28.5,10
Amelia Miller,CAT102,Fig,50,1
Amelia Miller,CAT106,Papaya,40,5
Amelia Miller,CAT55,Pineapple,25,2
Amelia Miller,CAT34,Jackfruit,172,1
Amelia Miller,CAT36,Date,172,1
Amelia Miller,CAT32,Lychee,51,2
Amelia Miller,CAT29,Cauliflower,22,3
Amelia Miller,CAT4832,Broccoli,33,2
Amelia Miller,CAT51,Cucumber,39,1
Amelia Miller,CAT78,Green Bean,37,0.5
Amelia Miller,CAT89,Pear,81,0.25
Amelia Miller,CAT15,Banana,79,0.25
Amelia Miller,CAT46,Guava,68,2
Amelia Miller,CAT41,Pomegranate,21,2
Amelia Miller,CAT27,Tomato,80,1
Amelia Miller,CAT71,Raspberry,102,3
Amelia Miller,CAT70,Eggplant,102,2
Amelia Miller,CAT74,Watermelon,62,0.5
Amelia Miller,CAT109,Kohlrabi,75,3
Amelia Miller,CAT93,Avocado,30.5,5
Amelia Miller,CAT49,Lettuce,39,3
Aiden Perez,CAT4832,Broccoli,32.18,0.5
Aiden Perez,CAT94,Peas,25,5
Aiden Perez,CAT54,Okra,15,1
Aiden Perez,CAT51,Cucumber,38.02,3
Aiden Perez,CAT102,Fig,48.76,0.7
Aiden Perez,CAT39,Grapes,28,1
Aiden Perez,CAT5523,Strawberry,75,3
Aiden Perez,CAT57,Mango,55,0.1
Aiden Perez,CAT78,Green Bean,36.08,1.25
Aiden Perez,CAT32,Lychee,49.73,2
Aiden Perez,CAT41,Pomegranate,20.48,2
Aiden Perez,CAT29,Cauliflower,22,6
Aiden Perez,CAT64,Blueberry,112.12,1
Aiden Perez,CAT63,Elderberry,360.75,1
Aiden Perez,CAT45,Apricot,54.6,1.5
Aiden Perez,CAT46,Guava,66.3,1
Evelyn Lee,CAT81,Lemon,28.5,10
Evelyn Lee,CAT4832,Broccoli,33,1
Evelyn Lee,CAT51,Cucumber,39,0.5
Evelyn Lee,CAT102,Fig,50,2.5
Evelyn Lee,CAT35,Carrot,112,1.5
Evelyn Lee,CAT36,Date,172,1
Evelyn Lee,CAT27,Tomato,80,1
Evelyn Lee,CAT79,Artichoke,39,5
Evelyn Lee,CAT21,Blackberry,69,2
Evelyn Lee,CAT43,Asparagus,69,0.5
Evelyn Lee,CAT15,Banana,79,0.25
Evelyn Lee,CAT32,Lychee,51,2
Evelyn Lee,CAT41,Pomegranate,21,2
Evelyn Lee,CAT38,Spinach,49,6
Evelyn Lee,CAT29,Cauliflower,22,12
Evelyn Lee,CAT64,Blueberry,115,0.5
Evelyn Lee,CAT17,Potato,45,1
Evelyn Lee,CAT62,Brussels Sprouts,545,1
Evelyn Lee,CAT45,Apricot,56,1
Evelyn Lee,CAT48,Zucchini,28,1
Evelyn Lee,CAT9,Plum,104,0.5
Alexander Moore,CAT12,Jicama,43,1
Alexander Moore,CAT17,Potato,43.88,1
Alexander Moore,CAT19,Cherry,38.03,1
Alexander Moore,CAT29,Cauliflower,22,2
Alexander Moore,CAT39,Grapes,28,1
Alexander Moore,CAT41,Pomegranate,20.48,4
Alexander Moore,CAT51,Cucumber,38.02,0.5
Alexander Moore,CAT55,Pineapple,24.38,1
Alexander Moore,CAT63,Elderberry,360.75,2
Alexander Moore,CAT64,Blueberry,112.12,1
Alexander Moore,CAT32,Lychee,49.73,1
Alexander Moore,CAT46,Guava,66.3,1
Alexander Moore,CAT45,Apricot,54.6,1
Alexander Moore,CAT70,Eggplant,100.98,2
Alexander Moore,CAT71,Raspberry,100.98,6
Alexander Moore,CAT78,Green Bean,36.08,0.25
Alexander Moore,CAT82,Kiwi,22.9,10
Alexander Moore,CAT102,Fig,48.76,0.5
Alexander Moore,CAT106,Papaya,40,15
Alexander Moore,CAT15,Banana,79,0.25
Alexander Moore,CAT27,Tomato,80,0.5
Alexander Moore,CAT74,Watermelon,62,0.5
Alexander Moore,CAT73,Mango,75,0.25
Alexander Moore,CAT75,Prickly Pear,78,0.25
Alexander Moore,CAT31,Grapefruit,70,0.5
Alexander Moore,CAT35,Carrot,112,0.5
Alexander Moore,CAT37,Orange,112,0.5
Abigail Lewis,CAT106,Papaya,40,10
Abigail Lewis,CAT55,Pineapple,25,10
Abigail Lewis,CAT81,Lemon,28.5,10
Abigail Lewis,CAT32,Lychee,51,8
Jacob Hall,CAT21,Blackberry,69,2.5
Jacob Hall,CAT47,Starfruit,65,3
Jacob Hall,CAT9,Plum,101.4,0.5
Jacob Hall,CAT4,Rutabaga,200,0.5
Jacob Hall,CAT104020,Lime,255,1
Jacob Hall,CAT98,Pine Nuts,200,1
Jacob Hall,CAT27,Tomato,80,0.5
Jacob Hall,CAT51,Cucumber,38.02,1
Jacob Hall,CAT102,Fig,48.76,0.5
Jacob Hall,CAT35,Carrot,112,0.5
Jacob Hall,CAT37,Orange,112,0.5
Jacob Hall,CAT69,Lychee,88,0.5
Jacob Hall,CAT5523,Strawberry,75,1
Jacob Hall,CAT72,Persimmon,80,0.25
Jacob Hall,CAT19302,Quince,240,2
Jacob Hall,CAT55,Pineapple,24.38,1
Jacob Hall,CAT39,Grapes,28,1
Jacob Hall,CAT62,Brussels Sprouts,539,0.5
Jacob Hall,CAT12,Jicama,43,1
Jacob Hall,CAT3,Chayote,14,2
Jacob Hall,CAT64,Blueberry,112.12,0.5
Jacob Hall,CAT09223,Boysenberry,255,0.5
Charlotte Clark,CAT35,Carrot,112,0.5
Charlotte Clark,CAT37,Orange,112,0.5
Charlotte Clark,CAT32,Lychee,51,3
Charlotte Clark,CAT4832,Broccoli,33,1
Charlotte Clark,CAT112,Rutabaga,49,0.5
Charlotte Clark,CAT106,Papaya,40,1
Charlotte Clark,CAT81,Lemon,28.5,10
Charlotte Clark,CAT93,Avocado,30.5,5
Charlotte Clark,CAT51,Cucumber,39,0.5
Charlotte Clark,CAT27,Tomato,80,1
Charlotte Clark,CAT41,Pomegranate,21,3
Charlotte Clark,CAT79,Artichoke,39,3
Charlotte Clark,CAT38,Spinach,49,5
Charlotte Clark,CAT102,Fig,50,2
Charlotte Clark,CAT29,Cauliflower,22,15
Charlotte Clark,CAT21,Blackberry,69,2.5
Charlotte Clark,CAT64,Blueberry,115,0.5
Charlotte Clark,CAT17,Potato,45,1
Charlotte Clark,CAT63,Elderberry,370,1
Charlotte Clark,CAT45,Apricot,56,1
Charlotte Clark,CAT9,Plum,104,0.5
Charlotte Clark,CAT91,Bell Pepper,69,1
Daniel Walker,CAT35,Carrot,112,0.5
Daniel Walker,CAT4832,Broccoli,33,0.5
Daniel Walker,CAT37,Orange,112,0.5
Daniel Walker,CAT106,Papaya,40,1
Daniel Walker,CAT5523,Strawberry,75,1
Daniel Walker,CAT81,Lemon,28.5,5
Daniel Walker,CAT93,Avocado,30.5,5
Daniel Walker,CAT111,Cantaloupe,70,0.5
Daniel Walker,CAT27,Tomato,80,0.5
Daniel Walker,CAT79,Artichoke,39,4
Daniel Walker,CAT38,Spinach,49,2
Daniel Walker,CAT102,Fig,50,0.5
Daniel Walker,CAT29,Cauliflower,22,8
Daniel Walker,CAT21,Blackberry,69,1
Daniel Walker,CAT62,Brussels Sprouts,545,0.5
Daniel Walker,CAT15,Banana,79,0.25
Daniel Walker,CAT78,Green Bean,37,0.25
Daniel Walker,CAT22,Tangerine,19.5,2
Scarlett King,CAT78,Green Bean,37,2.5
Scarlett King,CAT51,Cucumber,39,1.5
Scarlett King,CAT32,Lychee,51,2
Scarlett King,CAT35,Carrot,112,0.5
Scarlett King,CAT37,Orange,112,0.5
Scarlett King,CAT39,Grapes,28,2
Scarlett King,CAT17,Potato,45,2
Scarlett King,CAT55,Pineapple,25,12
Scarlett King,CAT29,Cauliflower,22,4
Scarlett King,CAT41,Pomegranate,21,8
Scarlett King,CAT108,Apple,97,2
William Adams,CAT5523,Strawberry,75,1
William Adams,CAT91,Bell Pepper,69,1
William Adams,CAT81,Lemon,28.5,5
William Adams,CAT106,Papaya,40,6
William Adams,CAT43,Asparagus,69,0.5
William Adams,CAT15,Banana,79,0.25
William Adams,CAT27,Tomato,80,1
William Adams,CAT73,Mango,75,0.25
William Adams,CAT46,Guava,68,0.5
William Adams,CAT4832,Broccoli,33,0.5
William Adams,CAT74,Watermelon,62,0.7
William Adams,CAT22,Tangerine,19.5,1
William Adams,CAT41,Pomegranate,21,1
William Adams,CAT99,Ackee,40,1
Oliver Gonzalez,CAT38,Spinach,49,4
Oliver Gonzalez,CAT53,Radish,39,6
Oliver Gonzalez,CAT21,Blackberry,69,10
Oliver Gonzalez,CAT31,Grapefruit,70,4
Oliver Gonzalez,CAT29,Cauliflower,22,5
Oliver Gonzalez,CAT71,Raspberry,102,2
Oliver Gonzalez,CAT106,Papaya,40,5
Oliver Gonzalez,CAT24,Breadfruit,40,1
Oliver Gonzalez,CAT102,Fig,50,7
Oliver Gonzalez,CAT81,Lemon,28.5,10
Oliver Gonzalez,CAT64,Blueberry,115,1
Oliver Gonzalez,CAT62,Brussels Sprouts,545,1
Oliver Gonzalez,CAT79,Artichoke,39,26
Oliver Gonzalez,CAT46,Guava,68,0.5
Oliver Gonzalez,CAT12,Jicama,43,3
Oliver Gonzalez,CAT89,Pear,81,0.5
Oliver Gonzalez,CAT6,Guanabana,180,2
Oliver Gonzalez,CAT74,Watermelon,62,4.2
Madison Scott,CAT29,Cauliflower,22,35
Madison Scott,CAT47,Starfruit,65,1
Madison Scott,CAT72,Persimmon,80,0.5
Madison Scott,CAT38,Spinach,47.78,6
Madison Scott,CAT32,Lychee,49.73,2
Madison Scott,CAT64,Blueberry,112.12,3
Madison Scott,CAT81,Lemon,28.5,30
Madison Scott,CAT106,Papaya,40,5
Madison Scott,CAT55,Pineapple,24.38,2
Madison Scott,CAT102,Fig,48.76,3.5
Madison Scott,CAT51,Cucumber,38.02,2.5
Madison Scott,CAT78,Green Bean,36.08,0.75
Madison Scott,CAT70,Eggplant,100.98,10
Madison Scott,CAT17,Potato,43.88,3
Madison Scott,CAT73,Mango,75,0.5
Madison Scott,CAT45,Apricot,54.6,5
Madison Scott,CAT43,Asparagus,69,1
Madison Scott,CAT41,Pomegranate,20.48,10
Madison Scott,CAT100,Peach,25,3
Madison Scott,CAT0345223,Horned Melon,32,3
Madison Scott,CAT23,Miracle Fruit,28.76,3
Madison Scott,CAT4832,Broccoli,32.18,1
Madison Scott,CAT93,Avocado,30.5,15
Madison Scott,CAT97,Celery,32,3
Madison Scott,CAT67,Coconut,47.78,1
Michael Turner,CAT50,Cranberry,29.5,40
Michael Turner,CAT12,Jicama,43,2
Michael Turner,CAT106,Papaya,40,12
Michael Turner,CAT82,Kiwi,22.9,5
Michael Turner,CAT81,Lemon,28.5,5
Michael Turner,CAT17,Potato,45,2
Michael Turner,CAT51,Cucumber,39,1.2
Michael Turner,CAT78,Green Bean,37,2
Michael Turner,CAT46,Guava,68,2
Michael Turner,CAT62,Brussels Sprouts,545,1.5
Michael Turner,CAT38,Spinach,49,2
Michael Turner,CAT71,Raspberry,102,3
Michael Turner,CAT84,Kiwano,255,1
Victoria Baker,CAT35,Carrot,112,1
Victoria Baker,CAT4832,Broccoli,33,1.5
Victoria Baker,CAT37,Orange,112,1
Victoria Baker,CAT111,Cantaloupe,70,2
Victoria Baker,CAT51,Cucumber,39,0.5
Victoria Baker,CAT27,Tomato,80,2
Victoria Baker,CAT32,Lychee,51,1
Victoria Baker,CAT79,Artichoke,39,20
Victoria Baker,CAT55,Pineapple,25,1
Victoria Baker,CAT47,Starfruit,65,3
Victoria Baker,CAT38,Spinach,49,2
Victoria Baker,CAT102,Fig,50,2
Victoria Baker,CAT53,Radish,39,1
Victoria Baker,CAT21,Blackberry,69,5
Victoria Baker,CAT6,Guanabana,180,0.25
Victoria Baker,CAT64,Blueberry,115,1
Victoria Baker,CAT3,Chayote,14,2
Victoria Baker,CAT12,Jicama,43,1
Victoria Baker,CAT62,Brussels Sprouts,545,3
Victoria Baker,CAT15,Banana,79,0.5
Victoria Baker,CAT9,Plum,104,1
Victoria Baker,CAT69,Lychee,88,0.5
James Evans,CAT32,Lychee,51,8
James Evans,CAT81,Lemon,28.5,10
James Evans,CAT106,Papaya,40,4
James Evans,CAT94,Peas,25,10
Layla Bennett,CAT108,Apple,97,2
Layla Bennett,CAT70,Eggplant,102,1
Layla Bennett,CAT104020,Lime,255,1
Layla Bennett,CAT4,Rutabaga,200,0.5
Layla Bennett,CAT101,Durian,300,0.1
Benjamin Hill,CAT81,Lemon,28.5,15
Benjamin Hill,CAT106,Papaya,40,7
Benjamin Hill,CAT64,Blueberry,112.12,1
Benjamin Hill,CAT62,Brussels Sprouts,539,1.5
Benjamin Hill,CAT41,Pomegranate,20.48,3
Benjamin Hill,CAT102,Fig,48.76,1.8
Benjamin Hill,CAT51,Cucumber,38.02,2.2
Benjamin Hill,CAT74,Watermelon,62,1.5
Benjamin Hill,CAT54,Okra,15,2
Benjamin Hill,CAT111,Cantaloupe,68.6,2
Benjamin Hill,CAT57,Mango,55,0.4
Benjamin Hill,CAT15,Banana,79,0.25
Benjamin Hill,CAT12,Jicama,43,2
Elizabeth Nelson,CAT39,Grapes,28,5
Elizabeth Nelson,CAT106,Papaya,40,1
Elizabeth Nelson,CAT81,Lemon,28.5,10
Elizabeth Nelson,CAT41,Pomegranate,21,2
Elizabeth Nelson,CAT29,Cauliflower,22,15
Elizabeth Nelson,CAT62,Brussels Sprouts,545,1
Elizabeth Nelson,CAT46,Guava,68,0.5
Elizabeth Nelson,CAT45,Apricot,56,0.5
Elizabeth Nelson,CAT22,Tangerine,19.5,1
Henry Mitchell,CAT89,Pear,81,0.25
Henry Mitchell,CAT27,Tomato,80,2
Henry Mitchell,CAT35,Carrot,110,2
Henry Mitchell,CAT37,Orange,110,2
Henry Mitchell,CAT112,Rutabaga,49,2
Henry Mitchell,CAT111,Cantaloupe,67,3
Avery Green,CAT51,Cucumber,39,1.5
Avery Green,CAT32,Lychee,51,2
Avery Green,CAT41,Pomegranate,21,3
Avery Green,CAT55,Pineapple,25,1
Avery Green,CAT38,Spinach,49,2
Avery Green,CAT102,Fig,50,0.5
Avery Green,CAT17,Potato,45,1
Avery Green,CAT97,Celery,32,1
Avery Green,CAT46,Guava,68,1.5
Avery Green,CAT4832,Broccoli,33,2
Avery Green,CAT20,Nectarine,42,2
Avery Green,CAT67,Coconut,49,2.5
Sebastian Ramirez,CAT94,Peas,25,5
Sebastian Ramirez,CAT54,Okra,15,1
Sebastian Ramirez,CAT39,Grapes,28,1
Sebastian Ramirez,CAT17,Potato,45,1
Sebastian Ramirez,CAT12,Jicama,43,1
Sebastian Ramirez,CAT46,Guava,68,1
Sebastian Ramirez,CAT24,Breadfruit,40,1
Sebastian Ramirez,CAT62,Brussels Sprouts,545,1
Sebastian Ramirez,CAT100,Peach,25,2
Sebastian Ramirez,CAT22,Tangerine,19.5,2.2
Sebastian Ramirez,CAT50,Cranberry,24,20
Grace Kelly,CAT5523,Strawberry,90,3
Grace Kelly,CAT96,Longan,75,2
Grace Kelly,CAT55,Pineapple,20,7
Grace Kelly,CAT32,Lychee,46,3
Grace Kelly,CAT46,Guava,76,2
Grace Kelly,CAT38,Spinach,43,1.5
Grace Kelly,CAT26,Rhubarb,27,5
Grace Kelly,CAT17,Potato,36,7
Grace Kelly,CAT57,Mango,51,1
Grace Kelly,CAT1,Buddha's Hand,55,1
Grace Kelly,CAT63,Elderberry,345,1
Grace Kelly,CAT11,Kale,48,2
Grace Kelly,CAT102,Fig,49,3
Grace Kelly,CAT64,Blueberry,113,2
Grace Kelly,CAT108,Apple,103,5
Grace Kelly,CAT59,Passion Fruit,49,0.5
Grace Kelly,CAT77,Ugli Fruit,58,2.5
Grace Kelly,CAT740032,Yuzu,73,3
Grace Kelly,CAT92,Dragonfruit,163,2
Matthew Bailey,CAT4832,Broccoli,33,2
Matthew Bailey,CAT82,Kiwi,22.9,5
Matthew Bailey,CAT106,Papaya,40,1
Matthew Bailey,CAT100,Peach,25,1
Matthew Bailey,CAT30,Onion,16,10.4
Matthew Bailey,CAT51,Cucumber,39,0.5
Matthew Bailey,CAT27,Tomato,80,0.5
Matthew Bailey,CAT32,Lychee,51,2
Matthew Bailey,CAT41,Pomegranate,21,1
Matthew Bailey,CAT38,Spinach,49,3
Matthew Bailey,CAT102,Fig,50,1.7
Matthew Bailey,CAT23,Miracle Fruit,29.5,1.2
Matthew Bailey,CAT21,Blackberry,69,0.5
